"Scenario","Year","Catch"
"Mmult Old AgesSudden2005",2021,1965.82741576545
"Mmult Old AgesSudden2010",2021,1913.4068307768
"Mmult Old AgesSudden2015",2021,1413.35948617069
"Mmult Old AgesRamp42000",2021,2063.19583351384
"Mmult Old AgesRamp42005",2021,2014.151727365
"Mmult Old AgesRamp42010",2021,1926.77599751021
"Mmult Old AgesRamp42015",2021,1680.95400714048
"Mmult Old AgesRamp92000",2021,2114.59689141242
"Mmult Old AgesRamp92005",2021,2069.84371985821
"Mmult Old AgesRamp92010",2021,1971.48823220517
"Mmult Old AgesRamp92015",2021,1820.7521511706
"Mmult Young AgesSudden2000",2021,1381.7128148307
"Mmult Young AgesSudden2005",2021,1399.81195038481
"Mmult Young AgesSudden2010",2021,843.963269213111
"Mmult Young AgesSudden2015",2021,1861.6737346559
"Mmult Young AgesRamp42000",2021,1354.94128338629
"Mmult Young AgesRamp42005",2021,1388.23014284266
"Mmult Young AgesRamp42010",2021,1209.90448119867
"Mmult Young AgesRamp42015",2021,1249.81077597572
"Mmult Young AgesRamp92000",2021,1412.62141310363
"Mmult Young AgesRamp92005",2021,1389.85846330118
"Mmult Young AgesRamp92010",2021,1305.78609376731
"Mmult Young AgesRamp92015",2021,957.389439025033
"Rose",2019,1633.21214486975
"Rose",2020,1542.38802644807
"Rose",2021,1490.64704240778
