"Peel","Year","metric","value"
1,1987,"F",0.5893902
1,1988,"F",0.5999373
1,1989,"F",0.5857903
1,1990,"F",0.6162668
1,1991,"F",0.5550956
1,1992,"F",0.8601114
1,1993,"F",1.029175
1,1994,"F",0.7175244
1,1995,"F",0.6810143
1,1996,"F",0.5266819
1,1997,"F",0.3526672
1,1998,"F",0.3224668
1,1999,"F",0.4606294
1,2000,"F",0.4264171
1,2001,"F",0.4382936
1,2002,"F",0.3301625
1,2003,"F",0.4416252
1,2004,"F",0.35832
1,2005,"F",0.3390133
1,2006,"F",0.216918
1,2007,"F",0.1423995
1,2008,"F",0.1392743
1,2009,"F",0.1670659
1,2010,"F",0.1327227
1,2011,"F",0.1710626
1,2012,"F",0.1576308
1,2013,"F",0.1200221
1,2014,"F",0.1053181
1,2015,"F",0.08935987
1,2016,"F",0.06054817
1,2017,"F",0.08332759
2,1963,"SSB",22983.96
2,1964,"SSB",22261.65
2,1965,"SSB",21293.39
2,1966,"SSB",20699.88
2,1967,"SSB",21167.16
2,1968,"SSB",22515.34
2,1969,"SSB",24349.45
2,1970,"SSB",26638.42
2,1971,"SSB",28749.07
2,1972,"SSB",30702.25
2,1973,"SSB",33484.04
2,1974,"SSB",36151.28
2,1975,"SSB",37512.62
2,1976,"SSB",38361.17
2,1977,"SSB",37992.95
2,1978,"SSB",36742.04
2,1979,"SSB",35865.01
2,1980,"SSB",34947.81
2,1981,"SSB",33101.39
2,1982,"SSB",30008.04
2,1983,"SSB",26612.53
2,1984,"SSB",23709.73
2,1985,"SSB",20414.06
2,1986,"SSB",16987.46
2,1987,"SSB",15071.07
2,1988,"SSB",14148.29
2,1989,"SSB",13245.95
2,1990,"SSB",13511.45
2,1991,"SSB",13571.6
2,1992,"SSB",14395.78
2,1993,"SSB",12287.73
2,1994,"SSB",9556.147
2,1995,"SSB",8504.426
2,1996,"SSB",8376.425
2,1997,"SSB",8299.908
2,1998,"SSB",9567.605
2,1999,"SSB",9770.843
2,2000,"SSB",9592.494
