"Scenario","Year","Catch"
"Mmult All Ages Ramp4 1995",2018,1026.41144592995
"Mmult All Ages Ramp4 2000",2018,871.393294249091
"Mmult All Ages Ramp4 2005",2018,771.139370728492
"Mmult All Ages Ramp4 2010",2018,595.671864735698
"Mmult All Ages Ramp9 1995",2018,1310.1651127579
"Mmult All Ages Ramp9 2000",2018,933.816598337604
"Mmult All Ages Ramp9 2005",2018,812.146706953086
"Mmult All Ages Ramp9 2010",2018,673.999612873774
"Mmult Old Sudden 1995",2018,1336.87428711415
"Mmult Old Sudden 2000",2018,1162.68211776446
"Mmult Old Sudden 2005",2018,981.65395465711
"Mmult Old Sudden 2010",2018,831.991598578876
"Mmult Old Ramp4 1995",2018,1567.05913876197
"Mmult Old Ramp4 2000",2018,1228.98373778999
"Mmult Old Ramp4 2005",2018,1044.80963688269
"Mmult Old Ramp4 2010",2018,899.300634992321
"Mmult Old Ramp9 1995",2018,2898.29987562862
"Mmult Old Ramp9 2000",2018,1351.33330190559
"Mmult Old Ramp9 2005",2018,1134.05266807295
"Mmult Old Ramp9 2010",2018,950.948099745352
"Mmult Young Sudden 1995",2018,776.592167457913
"Mmult Young Sudden 2000",2018,764.024343155069
"Mmult Young Sudden 2005",2018,679.72103137512
"Mmult Young Sudden 2010",2018,85.382532915082
"Mmult Young Ramp4 1995",2018,792.010007732087
"Mmult Young Ramp4 2000",2018,759.067695427855
"Mmult Young Ramp4 2005",2018,732.902779840919
"Mmult Young Ramp4 2010",2018,401.478442849951
"Mmult Young Ramp9 1995",2018,823.598620275642
"Mmult Young Ramp9 2000",2018,776.56125332886
"Mmult Young Ramp9 2005",2018,746.826968622281
"Mmult Young Ramp9 2010",2018,575.378080139533
"Rose",2016,697.958786427497
"Rose",2017,780.768810336009
"Rose",2018,887.742322204617
