"","GBYT","White Hake"
"F",-0.608720661744775,-0.18757337605511
"SSB",2.14444461479399,0.243526049411115
"N age 1",2.59223879412745,0.768301619795412
"N age 2",2.17516194154097,0.207427087598353
"N age 3",1.68094964822867,0.0113244537157879
"N age 4",1.83203629003577,0.0389120207516957
"N age 5",2.12266027001701,0.15868136869777
"N age 6",3.23295756866133,0.246693629058976
"N age 7",NA,0.283775872841294
"N age 8",NA,0.298536613692269
"N age 9",NA,0.305028624118117
