"Scenario","Metric","SSB","F"
"Mmult Young AgesSudden2000","Target",41327.3983003806,0.245179098122843
"Mmult Young AgesSudden2005","Target",35786.5603961622,0.230032455176852
"Mmult Young AgesSudden2010","Target",36676.3342925863,0.221755199123396
"Mmult Young AgesSudden2015","Target",30383.517478636,0.198433907449396
"Mmult Young AgesRamp42000","Target",47471.4152750023,0.249103828263763
"Mmult Young AgesRamp42005","Target",35813.6893045738,0.235970347797265
"Mmult Young AgesRamp42010","Target",38653.0435128554,0.224939916771016
"Mmult Young AgesRamp42015","Target",32988.649105273,0.206178796446717
"Mmult Young AgesRamp92000","Target",55768.0838703547,0.249929340445367
"Mmult Young AgesRamp92005","Target",39813.1082786397,0.242047460170514
"Mmult Young AgesRamp92010","Target",37232.508825879,0.231200594756269
"Mmult Young AgesRamp92015","Target",36670.1415259795,0.221240408204511
"CmultSudden2000","Ratio",0.461912540458963,1.93124197758381
"CmultSudden2005","Ratio",0.409006837919668,2.1113054082164
"CmultSudden2010","Ratio",0.413798321367294,2.22987051039731
"CmultSudden2015","Ratio",0.461690257994445,3.67862105803409
"CmultRamp42000","Ratio",0.484736192994714,1.90185116052867
"CmultRamp42005","Ratio",0.432132341290639,2.01776448936725
"CmultRamp42010","Ratio",0.402094553574064,2.229556766588
"CmultRamp42015","Ratio",0.422742824483791,2.77937802045318
"CmultRamp92000","Ratio",0.506340096581018,1.8030204506847
"CmultRamp92005","Ratio",0.448918047499326,2.00318287449218
"CmultRamp92010","Ratio",0.414159900087454,2.07702179279535
"CmultRamp92015","Ratio",0.404238295361734,2.49734541014565
"Mmult All AgesSudden2000","Ratio",0.349752257211779,1.03969396642698
"Mmult All AgesSudden2005","Ratio",0.38208846608234,1.00095087386656
"Mmult All AgesSudden2010","Ratio",0.401151205477664,1.02237542801744
"Mmult All AgesSudden2015","Ratio",0.35950500898898,1.17362870207503
"Mmult All AgesRamp42000","Ratio",0.352969497602989,0.991731580538994
"Mmult All AgesRamp42005","Ratio",0.379904265561968,0.986295548124586
"Mmult All AgesRamp42010","Ratio",0.412139048247513,0.972288400448058
"Mmult All AgesRamp42015","Ratio",0.39487673441848,1.06580924341834
"Mmult All AgesRamp92000","Ratio",0.333843255335378,1.0187060189472
"Mmult All AgesRamp92005","Ratio",0.351340039482088,1.03979274815869
"Mmult All AgesRamp92010","Ratio",0.390449500189477,0.979303983752087
"Mmult All AgesRamp92015","Ratio",0.390254755424705,1.04860789451127
"Mmult Old AgesSudden2000","Ratio",0.435843320692337,0.899541758786764
"Mmult Old AgesSudden2005","Ratio",0.431593721269323,0.931091148407713
"Mmult Old AgesSudden2010","Ratio",0.43574162797181,0.947517358223717
"Mmult Old AgesSudden2015","Ratio",0.361812267077713,1.23774764564637
"Mmult Old AgesRamp42000","Ratio",0.443969498974887,0.871771177954646
"Mmult Old AgesRamp42005","Ratio",0.439217513613162,0.904728071749801
"Mmult Old AgesRamp42010","Ratio",0.429808534739044,0.947425666879821
"Mmult Old AgesRamp42015","Ratio",0.410148910201609,1.03926365170717
"Mmult Old AgesRamp92000","Ratio",0.450556495433308,0.844855064552032
"Mmult Old AgesRamp92005","Ratio",0.448723185722047,0.874228837753235
"Mmult Old AgesRamp92010","Ratio",0.435086089356421,0.924470649662616
"Mmult Old AgesRamp92015","Ratio",0.422271885193656,0.98270144466736
"Mmult Young AgesSudden2000","Ratio",0.190996199243621,1.46335068016376
"Mmult Young AgesSudden2005","Ratio",0.236479670197853,1.33288278718878
"Mmult Young AgesSudden2010","Ratio",0.189783579364064,1.62990225901706
"Mmult Young AgesSudden2015","Ratio",0.566294867343727,0.645166451870874
"Mmult Young AgesRamp42000","Ratio",0.164032522622102,1.5059531706706
"Mmult Young AgesRamp42005","Ratio",0.227819757149621,1.39259361639085
"Mmult Young AgesRamp42010","Ratio",0.210526242190828,1.38387843504399
"Mmult Young AgesRamp42015","Ratio",0.359758896526108,0.935267851608755
"Mmult Young AgesRamp92000","Ratio",0.146122323638446,1.44022826355069
"Mmult Young AgesRamp92005","Ratio",0.202035242857829,1.42645950408555
"Mmult Young AgesRamp92010","Ratio",0.218698880542272,1.38712662196257
"Mmult Young AgesRamp92015","Ratio",0.215636664352601,1.41127338596925
"Rose","Ratio",0.37152087791481,1.39497437106429
"Rose","Target",32569.9120449003,0.222305735819548
"Rose","Terminal",11744.35825,0.309970022916667
