scenario,change.year,ramp,cmult,mmult,mselxlab,imult,ssbrho
Ramp4 Cmults,2000,4,2.7,1,All Ages,1,0.03158557
Ramp4 Cmults,2000,4,2.8,1,All Ages,1,0.015181347
Ramp4 Cmults,2000,4,2.9,1,All Ages,1,-0.000371492
Ramp4 Cmults,2015,4,2.6,1,All Ages,1,0.038321568
Ramp4 Cmults,2015,4,2.7,1,All Ages,1,0.008507758
Ramp4 Cmults,2015,4,2.8,1,All Ages,1,-0.02085428
Ramp4 Cmults,2015,4,2.9,1,All Ages,1,-0.049535152
Ramp4 Cmults,2005,4,2.1,1,All Ages,1,0.065007454
Ramp4 Cmults,2005,4,2.2,1,All Ages,1,0.034446194
Ramp4 Cmults,2005,4,2.3,1,All Ages,1,0.005353923
Ramp4 Cmults,2005,4,2.4,1,All Ages,1,-0.022169914
Ramp4 Cmults,2010,4,2.1,1,All Ages,1,0.026195199
Ramp4 Cmults,2010,4,2.2,1,All Ages,1,-0.012861939
Ramp4 Cmults,2010,4,2.3,1,All Ages,1,-0.049710386
Ramp4 Cmults,2010,4,2.4,1,All Ages,1,-0.084206405
Ramp9 Cmults,2000,9,1.5,1,All Ages,1,0.260096676
Ramp9 Cmults,2000,9,2,1,All Ages,1,0.202546881
Ramp9 Cmults,2000,9,2.5,1,All Ages,1,0.131177606
Ramp9 Cmults,2000,9,3,1,All Ages,1,0.065081611
Ramp9 Cmults,2000,9,3.5,1,All Ages,1,0.013999236
Ramp9 Cmults,2000,9,4,1,All Ages,1,-0.02185328
Ramp9 Cmults,2000,9,4.5,1,All Ages,1,-0.011989582
Ramp9 Cmults,2000,9,5,1,All Ages,1,-0.068571365
Ramp9 Cmults,2005,9,1.5,1,All Ages,1,0.25359709
Ramp9 Cmults,2005,9,2,1,All Ages,1,0.136319128
Ramp9 Cmults,2005,9,2.5,1,All Ages,1,0.01626259
Ramp9 Cmults,2005,9,3,1,All Ages,1,-0.080669832
Ramp9 Cmults,2005,9,3.5,1,All Ages,1,-0.154215762
Ramp9 Cmults,2005,9,4,1,All Ages,1,-0.210076937
Ramp9 Cmults,2005,9,4.5,1,All Ages,1,-0.255996079
Ramp9 Cmults,2005,9,5,1,All Ages,1,-0.291935139
Ramp9 Cmults,2010,9,1.5,1,All Ages,1,0.252957813
Ramp9 Cmults,2010,9,2,1,All Ages,1,0.080521033
Ramp9 Cmults,2010,9,2.5,1,All Ages,1,-0.083558214
Ramp9 Cmults,2010,9,3,1,All Ages,1,-0.201783006
Ramp9 Cmults,2010,9,3.5,1,All Ages,1,-0.285610633
Ramp9 Cmults,2010,9,4,1,All Ages,1,-0.346934363
Ramp9 Cmults,2010,9,4.5,1,All Ages,1,-0.393803541
Ramp9 Cmults,2010,9,5,1,All Ages,1,-0.4306413
Ramp9 Cmults,2015,9,1.5,1,All Ages,1,0.271153262
Ramp9 Cmults,2015,9,2,1,All Ages,1,0.136373029
Ramp9 Cmults,2015,9,2.5,1,All Ages,1,-0.048213253
Ramp9 Cmults,2015,9,3,1,All Ages,1,-0.197632176
Ramp9 Cmults,2015,9,3.5,1,All Ages,1,-0.306310188
Ramp9 Cmults,2015,9,4,1,All Ages,1,-0.38506676
Ramp9 Cmults,2015,9,4.5,1,All Ages,1,-0.443453208
Ramp9 Cmults,2015,9,5,1,All Ages,1,-0.487938051
Ramp9 Cmults,2000,9,3.6,1,All Ages,1,0.005441139
Ramp9 Cmults,2000,9,3.7,1,All Ages,1,-0.002507874
Ramp9 Cmults,2000,9,3.8,1,All Ages,1,-0.009793393
Ramp9 Cmults,2000,9,3.9,1,All Ages,1,-0.016315766
Ramp9 Cmults,2005,9,2.6,1,All Ages,1,-0.00524844
Ramp9 Cmults,2005,9,2.7,1,All Ages,1,-0.025668285
Ramp9 Cmults,2005,9,2.8,1,All Ages,1,-0.04501951
Ramp9 Cmults,2005,9,2.9,1,All Ages,1,-0.063338508
Ramp9 Cmults,2010,9,2.1,1,All Ages,1,0.044142203
Ramp9 Cmults,2010,9,2.2,1,All Ages,1,0.009342529
Ramp9 Cmults,2010,9,2.3,1,All Ages,1,-0.023598378
Ramp9 Cmults,2010,9,2.4,1,All Ages,1,-0.054567663
Ramp9 Cmults,2015,9,2.1,1,All Ages,1,0.098857026
Ramp9 Cmults,2015,9,2.2,1,All Ages,1,0.060912311
Ramp9 Cmults,2015,9,2.3,1,All Ages,1,0.023387994
Ramp9 Cmults,2015,9,2.4,1,All Ages,1,-0.013118457
Sudden Mmults,2000,0,1,1.5,All Ages,1,0.067740023
Sudden Mmults,2000,0,1,2,All Ages,1,-0.100615114
Sudden Mmults,2000,0,1,2.5,All Ages,1,-0.251611977
Sudden Mmults,2000,0,1,3,All Ages,1,-0.378318259
Sudden Mmults,2000,0,1,3.5,All Ages,1,-0.469162281
Sudden Mmults,2000,0,1,4,All Ages,1,-0.534219877
Sudden Mmults,2000,0,1,4.5,All Ages,1,-0.583459198
Sudden Mmults,2000,0,1,5,All Ages,1,-0.621880353
Sudden Mmults,2005,0,1,1.5,All Ages,1,0.048827265
Sudden Mmults,2005,0,1,2,All Ages,1,-0.149212194
Sudden Mmults,2005,0,1,2.5,All Ages,1,-0.324283722
Sudden Mmults,2005,0,1,3,All Ages,1,-0.45669747
Sudden Mmults,2005,0,1,3.5,All Ages,1,-0.548662872
Sudden Mmults,2005,0,1,4,All Ages,1,-0.612435387
Sudden Mmults,2005,0,1,4.5,All Ages,1,-0.656703065
Sudden Mmults,2005,0,1,5,All Ages,1,-0.689591633
Sudden Mmults,2010,0,1,1.5,All Ages,1,0.064961134
Sudden Mmults,2010,0,1,2,All Ages,1,-0.10730977
Sudden Mmults,2010,0,1,2.5,All Ages,1,-0.27411288
Sudden Mmults,2010,0,1,3,All Ages,1,-0.42248207
Sudden Mmults,2010,0,1,3.5,All Ages,1,-0.540870826
Sudden Mmults,2010,0,1,4,All Ages,1,-0.627266864
Sudden Mmults,2010,0,1,4.5,All Ages,1,-0.687870282
Sudden Mmults,2010,0,1,5,All Ages,1,-0.730251803
Sudden Mmults,2015,0,1,1.5,All Ages,1,0.161533832
Sudden Mmults,2015,0,1,2,All Ages,1,0.086418264
Sudden Mmults,2015,0,1,2.5,All Ages,1,0.015659388
Sudden Mmults,2015,0,1,3,All Ages,1,-0.052494664
Sudden Mmults,2015,0,1,3.5,All Ages,1,-0.119269002
Sudden Mmults,2015,0,1,4,All Ages,1,-0.185399648
Sudden Mmults,2015,0,1,4.5,All Ages,1,-0.251051884
Sudden Mmults,2015,0,1,5,All Ages,1,-0.315634659
Sudden Mmults,2000,0,1,1.6,All Ages,1,0.033184584
Sudden Mmults,2000,0,1,1.7,All Ages,1,-0.000890217
Sudden Mmults,2000,0,1,1.8,All Ages,1,-0.034517818
Sudden Mmults,2000,0,1,1.9,All Ages,1,-0.067783582
Sudden Mmults,2005,0,1,1.6,All Ages,1,0.008972259
Sudden Mmults,2005,0,1,1.7,All Ages,1,-0.030999207
Sudden Mmults,2005,0,1,1.8,All Ages,1,-0.07086435
Sudden Mmults,2005,0,1,1.9,All Ages,1,-0.110361854
Sudden Mmults,2010,0,1,1.6,All Ages,1,0.030296797
Sudden Mmults,2010,0,1,1.7,All Ages,1,-0.004247748
Sudden Mmults,2010,0,1,1.8,All Ages,1,-0.03870168
Sudden Mmults,2010,0,1,1.9,All Ages,1,-0.073064905
Sudden Mmults,2015,0,1,2.6,All Ages,1,0.001866134
Sudden Mmults,2015,0,1,2.7,All Ages,1,-0.01183571
Sudden Mmults,2015,0,1,2.8,All Ages,1,-0.025456624
Sudden Mmults,2015,0,1,2.9,All Ages,1,-0.039006757
Ramp4 Mmults,2000,4,1,1.5,All Ages,1,0.073881624
Ramp4 Mmults,2000,4,1,2,All Ages,1,-0.080617478
Ramp4 Mmults,2000,4,1,2.5,All Ages,1,-0.22081875
