"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0967069894485893,-0.0824083244605573,-0.347812558845801,-0.0885954909214794,-0.0890670831416079,-0.126120102500476,-0.347812558845801,-0.152599793064265,-0.209978941736661,-0.110682027184837,0.0141675299762569,0.0124498147562398,0.00731592845360729,0.0200806955169865,0.0270441815024922
"peel.2",0.151143123259159,-0.164381957331165,-0.431268053916588,-0.172743591307467,-0.12808936165282,-0.208235803689473,-0.431268053916588,-0.270032073171892,-0.224708214553362,-0.0243935767805273,-0.0595801669901843,-0.0660597778082524,-0.037695000455799,-0.0313493675195802,-0.0196710804748145
"peel.3",0.381330270584433,-0.317660186240545,-0.638017540184114,-0.388230688822898,-0.268392067433032,-0.441844343941819,-0.638017540184114,-0.48757162882071,-0.171911699349191,-0.21492522196637,-0.229759798209396,-0.159078981067356,-0.163326400669254,-0.169330984157121,-0.174939175044659
"peel.4",0.38554602222093,-0.307896286242062,-0.808828363198669,-0.545725537533831,-0.265801925708494,-0.708629785372824,-0.808828363198669,-0.320616144291164,-0.307359743110849,-0.275721899645122,-0.177361238747769,-0.187455742906886,-0.182447316380787,-0.189677503228266,-0.191119316322182
"peel.5",0.542546528505604,-0.386635318481925,-0.090925151474177,-0.324184715805286,-0.32133287697913,-0.237986240540562,-0.090925151474177,-0.494433261117244,-0.453347925235519,-0.203641369832885,-0.234659612012107,-0.206660221936344,-0.22960542195441,-0.232059378468368,-0.21663292049871
"Mohn.rho",0.311454586803743,-0.251796414551251,-0.46337033352387,-0.303896004878192,-0.214536662983017,-0.344563255209031,-0.46337033352387,-0.345050580093055,-0.273461304797116,-0.165872819081948,-0.13743865719664,-0.12136098179252,-0.121151642201329,-0.12046730757127,-0.115063662167575
