"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho"
"Ramp4 Cmults",2005,4,6,1,"All Ages",1,0.527718730438457
"Ramp4 Cmults",2005,4,7,1,"All Ages",1,0.454558267672747
"Ramp4 Cmults",2005,4,8,1,"All Ages",1,0.39326658759655
"Ramp4 Cmults",2005,4,9,1,"All Ages",1,0.340656414107497
"Ramp4 Cmults",2005,4,10,1,"All Ages",1,0.294711322157243
"Ramp4 Cmults",2010,4,2,1,"All Ages",1,1.25352288510584
"Ramp4 Cmults",2010,4,3,1,"All Ages",1,0.783752651170302
"Ramp4 Cmults",2010,4,4,1,"All Ages",1,0.58483536947265
"Ramp4 Cmults",2010,4,5,1,"All Ages",1,0.446113490458716
"Ramp4 Cmults",2010,4,6,1,"All Ages",1,0.337879691843422
"Ramp4 Cmults",2010,4,7,1,"All Ages",1,0.249513177849768
"Ramp4 Cmults",2010,4,8,1,"All Ages",1,0.175460489791136
"Ramp4 Cmults",2010,4,9,1,"All Ages",1,0.112266666488382
"Ramp4 Cmults",2010,4,10,1,"All Ages",1,0.0575820029330019
"Ramp4 Cmults",2013,4,2,1,"All Ages",1,1.97717598923723
"Ramp4 Cmults",2013,4,3,1,"All Ages",1,1.18373836534767
"Ramp4 Cmults",2013,4,4,1,"All Ages",1,0.65206234776484
"Ramp4 Cmults",2013,4,5,1,"All Ages",1,0.431183784142741
"Ramp4 Cmults",2013,4,6,1,"All Ages",1,0.287173979678802
"Ramp4 Cmults",2013,4,7,1,"All Ages",1,0.179023918549096
"Ramp4 Cmults",2013,4,8,1,"All Ages",1,0.0929767231853015
"Ramp4 Cmults",2013,4,9,1,"All Ages",1,0.0221957768707379
"Ramp4 Cmults",2013,4,10,1,"All Ages",1,-0.0373702782537965
"Ramp4 Cmults",2015,4,2,1,"All Ages",1,2.5243222447073
"Ramp4 Cmults",2015,4,3,1,"All Ages",1,2.19086528959263
"Ramp4 Cmults",2015,4,4,1,"All Ages",1,1.73209091541264
"Ramp4 Cmults",2015,4,5,1,"All Ages",1,1.2896368404094
"Ramp4 Cmults",2015,4,6,1,"All Ages",1,0.930316407185127
"Ramp4 Cmults",2015,4,7,1,"All Ages",1,0.669089665077526
"Ramp4 Cmults",2015,4,8,1,"All Ages",1,0.462729102721396
"Ramp4 Cmults",2015,4,9,1,"All Ages",1,0.296187906248013
"Ramp4 Cmults",2015,4,10,1,"All Ages",1,0.13869558214943
"Ramp9 Cmults",1995,9,2,1,"All Ages",1,1.83339916339679
"Ramp9 Cmults",1995,9,3,1,"All Ages",1,1.51476924321745
"Ramp9 Cmults",1995,9,4,1,"All Ages",1,1.31053583038136
