scenario,change.year,ramp,cmult,mmult,mselxlab,imult,ssbrho
Sudden Mmults,2010,0,1,0.3,All Ages,1,-0.007910249
Sudden Mmults,2010,0,1,0.4,All Ages,1,-0.049402421
Sudden Mmults,2010,0,1,0.5,All Ages,1,-0.088393925
Sudden Mmults,2010,0,1,0.6,All Ages,1,-0.12506452
Sudden Mmults,2010,0,1,0.7,All Ages,1,-0.159584062
Sudden Mmults,2010,0,1,0.8,All Ages,1,-0.192114205
Sudden Mmults,2010,0,1,0.9,All Ages,1,-0.222805282
Sudden Mmults,2015,0,1,0.1,All Ages,1,-0.111241269
Sudden Mmults,2015,0,1,0.2,All Ages,1,-0.12815876
Sudden Mmults,2015,0,1,0.3,All Ages,1,-0.144730717
Sudden Mmults,2015,0,1,0.4,All Ages,1,-0.160966021
Sudden Mmults,2015,0,1,0.5,All Ages,1,-0.17687386
Sudden Mmults,2015,0,1,0.6,All Ages,1,-0.192462791
Sudden Mmults,2015,0,1,0.7,All Ages,1,-0.207741285
Sudden Mmults,2015,0,1,0.8,All Ages,1,-0.222717617
Sudden Mmults,2015,0,1,0.9,All Ages,1,-0.237400141
Sudden Mmults,2000,0,1,0.15,All Ages,1,0.014143318
Sudden Mmults,2000,0,1,0.16,All Ages,1,0.010336489
Sudden Mmults,2000,0,1,0.17,All Ages,1,0.006544733
Sudden Mmults,2000,0,1,0.18,All Ages,1,0.002767237
Sudden Mmults,2000,0,1,0.19,All Ages,1,-0.00099555
Sudden Mmults,2010,0,1,0.25,All Ages,1,0.013831905
Sudden Mmults,2010,0,1,0.26,All Ages,1,0.009428542
Sudden Mmults,2010,0,1,0.27,All Ages,1,0.005052794
Sudden Mmults,2010,0,1,0.28,All Ages,1,0.000704741
Sudden Mmults,2010,0,1,0.29,All Ages,1,-0.003616489
Sudden Mmults,2015,0,1,0.01,All Ages,1,-0.09571264
Sudden Mmults,2015,0,1,0.03,All Ages,1,-0.099188592
Sudden Mmults,2015,0,1,0.05,All Ages,1,-0.102650271
Sudden Mmults,2015,0,1,0.07,All Ages,1,-0.106097414
Sudden Mmults,2015,0,1,0.09,All Ages,1,-0.109530291
Ramp4 Cmults,2000,4,0.1,1,All Ages,1,-0.094961799
Ramp4 Cmults,2000,4,0.2,1,All Ages,1,-0.107142011
Ramp4 Cmults,2000,4,0.3,1,All Ages,1,-0.125659566
Ramp4 Cmults,2000,4,0.4,1,All Ages,1,-0.15139881
Ramp4 Cmults,2000,4,0.5,1,All Ages,1,-0.178626173
Ramp4 Cmults,2000,4,0.6,1,All Ages,1,-0.201747192
Ramp4 Cmults,2000,4,0.7,1,All Ages,1,-0.219258429
Ramp4 Cmults,2000,4,0.8,1,All Ages,1,-0.232583598
Ramp4 Cmults,2000,4,0.9,1,All Ages,1,-0.243156933
Ramp4 Cmults,2005,4,0.1,1,All Ages,1,-0.088258337
Ramp4 Cmults,2005,4,0.2,1,All Ages,1,-0.10038713
Ramp4 Cmults,2005,4,0.3,1,All Ages,1,-0.118553541
Ramp4 Cmults,2005,4,0.4,1,All Ages,1,-0.143571091
Ramp4 Cmults,2005,4,0.5,1,All Ages,1,-0.17145275
Ramp4 Cmults,2005,4,0.6,1,All Ages,1,-0.195047486
Ramp4 Cmults,2005,4,0.7,1,All Ages,1,-0.214021399
Ramp4 Cmults,2005,4,0.8,1,All Ages,1,-0.229197236
Ramp4 Cmults,2005,4,0.9,1,All Ages,1,-0.241542047
Ramp4 Cmults,2010,4,0.1,1,All Ages,1,-0.121124471
Ramp4 Cmults,2010,4,0.2,1,All Ages,1,-0.134126624
Ramp4 Cmults,2010,4,0.3,1,All Ages,1,-0.149362713
Ramp4 Cmults,2010,4,0.4,1,All Ages,1,-0.166284461
Ramp4 Cmults,2010,4,0.5,1,All Ages,1,-0.183745646
Ramp4 Cmults,2010,4,0.6,1,All Ages,1,-0.200536226
Ramp4 Cmults,2010,4,0.7,1,All Ages,1,-0.215868458
Ramp4 Cmults,2010,4,0.8,1,All Ages,1,-0.229461243
Ramp4 Cmults,2010,4,0.9,1,All Ages,1,-0.241369895
Ramp4 Cmults,2015,4,0.1,1,All Ages,1,-0.190668784
Ramp4 Cmults,2015,4,0.2,1,All Ages,1,-0.19666077
Ramp4 Cmults,2015,4,0.3,1,All Ages,1,-0.202944181
Ramp4 Cmults,2015,4,0.4,1,All Ages,1,-0.209482513
Ramp4 Cmults,2015,4,0.5,1,All Ages,1,-0.216235161
Ramp4 Cmults,2015,4,0.6,1,All Ages,1,-0.223160611
Ramp4 Cmults,2015,4,0.7,1,All Ages,1,-0.230217575
Ramp4 Cmults,2015,4,0.8,1,All Ages,1,-0.237366459
Ramp4 Cmults,2015,4,0.9,1,All Ages,1,-0.244570513
Ramp4 Cmults,2000,4,0.01,1,All Ages,1,-0.088995471
Ramp4 Cmults,2000,4,0.02,1,All Ages,1,-0.089511468
Ramp4 Cmults,2000,4,0.03,1,All Ages,1,-0.090058755
Ramp4 Cmults,2000,4,0.04,1,All Ages,1,-0.090634031
Ramp4 Cmults,2000,4,0.05,1,All Ages,1,-0.091241429
Ramp4 Cmults,2005,4,0.01,1,All Ages,1,-0.080611702
Ramp4 Cmults,2005,4,0.02,1,All Ages,1,-0.081318122
Ramp4 Cmults,2005,4,0.03,1,All Ages,1,-0.082055386
Ramp4 Cmults,2005,4,0.04,1,All Ages,1,-0.082817716
Ramp4 Cmults,2005,4,0.05,1,All Ages,1,-0.083622725
Ramp4 Cmults,2010,4,0.01,1,All Ages,1,-0.111036495
Ramp4 Cmults,2010,4,0.02,1,All Ages,1,-0.112103059
Ramp4 Cmults,2010,4,0.03,1,All Ages,1,-0.11318879
Ramp4 Cmults,2010,4,0.04,1,All Ages,1,-0.114293982
Ramp4 Cmults,2010,4,0.05,1,All Ages,1,-0.115418904
Ramp4 Cmults,2015,4,0.01,1,All Ages,1,-0.185551375
Ramp4 Cmults,2015,4,0.02,1,All Ages,1,-0.186106451
Ramp4 Cmults,2015,4,0.03,1,All Ages,1,-0.186664775
Ramp4 Cmults,2015,4,0.04,1,All Ages,1,-0.187226859
Ramp4 Cmults,2015,4,0.05,1,All Ages,1,-0.187792116
Ramp9 Cmults,2000,9,0.1,1,All Ages,1,-0.099453265
Ramp9 Cmults,2000,9,0.2,1,All Ages,1,-0.112179254
Ramp9 Cmults,2000,9,0.3,1,All Ages,1,-0.132487727
Ramp9 Cmults,2000,9,0.4,1,All Ages,1,-0.159516655
Ramp9 Cmults,2000,9,0.5,1,All Ages,1,-0.185553147
Ramp9 Cmults,2000,9,0.6,1,All Ages,1,-0.206827078
Ramp9 Cmults,2000,9,0.7,1,All Ages,1,-0.222695849
Ramp9 Cmults,2000,9,0.8,1,All Ages,1,-0.234635271
Ramp9 Cmults,2000,9,0.9,1,All Ages,1,-0.244083987
Ramp9 Cmults,2005,9,0.1,1,All Ages,1,-0.091582324
Ramp9 Cmults,2005,9,0.2,1,All Ages,1,-0.104031248
Ramp9 Cmults,2005,9,0.3,1,All Ages,1,-0.122310742
Ramp9 Cmults,2005,9,0.4,1,All Ages,1,-0.1477932
Ramp9 Cmults,2005,9,0.5,1,All Ages,1,-0.175110891
Ramp9 Cmults,2005,9,0.6,1,All Ages,1,-0.198575995
Ramp9 Cmults,2005,9,0.7,1,All Ages,1,-0.216651167
Ramp9 Cmults,2005,9,0.8,1,All Ages,1,-0.230886742
Ramp9 Cmults,2005,9,0.9,1,All Ages,1,-0.242347479
Ramp9 Cmults,2010,9,0.1,1,All Ages,1,-0.105760406
Ramp9 Cmults,2010,9,0.2,1,All Ages,1,-0.120586683
Ramp9 Cmults,2010,9,0.3,1,All Ages,1,-0.139644826
Ramp9 Cmults,2010,9,0.4,1,All Ages,1,-0.159800659
Ramp9 Cmults,2010,9,0.5,1,All Ages,1,-0.180126839
Ramp9 Cmults,2010,9,0.6,1,All Ages,1,-0.198897258
Ramp9 Cmults,2010,9,0.7,1,All Ages,1,-0.215347428
Ramp9 Cmults,2010,9,0.8,1,All Ages,1,-0.229444139
Ramp9 Cmults,2010,9,0.9,1,All Ages,1,-0.241474435
Ramp9 Cmults,2015,9,0.1,1,All Ages,1,-0.160898082
Ramp9 Cmults,2015,9,0.2,1,All Ages,1,-0.170870592
Ramp9 Cmults,2015,9,0.3,1,All Ages,1,-0.18140877
Ramp9 Cmults,2015,9,0.4,1,All Ages,1,-0.192237621
Ramp9 Cmults,2015,9,0.5,1,All Ages,1,-0.203083553
Ramp9 Cmults,2015,9,0.6,1,All Ages,1,-0.213718677
Ramp9 Cmults,2015,9,0.7,1,All Ages,1,-0.223980204
Ramp9 Cmults,2015,9,0.8,1,All Ages,1,-0.233770218
Ramp9 Cmults,2015,9,0.9,1,All Ages,1,-0.243044565
Ramp9 Cmults,2000,9,0.01,1,All Ages,1,-0.093862652
Ramp9 Cmults,2000,9,0.02,1,All Ages,1,-0.09432664
Ramp9 Cmults,2000,9,0.03,1,All Ages,1,-0.09481187
Ramp9 Cmults,2000,9,0.04,1,All Ages,1,-0.095334781
Ramp9 Cmults,2000,9,0.05,1,All Ages,1,-0.095897955
Ramp9 Cmults,2005,9,0.01,1,All Ages,1,-0.084105368
Ramp9 Cmults,2005,9,0.02,1,All Ages,1,-0.08476014
Ramp9 Cmults,2005,9,0.03,1,All Ages,1,-0.085450158
Ramp9 Cmults,2005,9,0.04,1,All Ages,1,-0.086179599
Ramp9 Cmults,2005,9,0.05,1,All Ages,1,-0.08695223
Ramp9 Cmults,2010,9,0.01,1,All Ages,1,-0.095093348
Ramp9 Cmults,2010,9,0.02,1,All Ages,1,-0.096170511
Ramp9 Cmults,2010,9,0.03,1,All Ages,1,-0.097273727
Ramp9 Cmults,2010,9,0.04,1,All Ages,1,-0.098402715
Ramp9 Cmults,2010,9,0.05,1,All Ages,1,-0.09955889
Ramp9 Cmults,2015,9,0.01,1,All Ages,1,-0.152594241
Ramp9 Cmults,2015,9,0.02,1,All Ages,1,-0.153481485
Ramp9 Cmults,2015,9,0.03,1,All Ages,1,-0.154377856
Ramp9 Cmults,2015,9,0.04,1,All Ages,1,-0.155283209
Ramp9 Cmults,2015,9,0.05,1,All Ages,1,-0.156197603
Ramp4 Mmults,2000,4,1,0.1,All Ages,1,0.010053514
Ramp4 Mmults,2000,4,1,0.2,All Ages,1,-0.024263171
Ramp4 Mmults,2000,4,1,0.3,All Ages,1,-0.057440186
Ramp4 Mmults,2000,4,1,0.4,All Ages,1,-0.089410949
Ramp4 Mmults,2000,4,1,0.5,All Ages,1,-0.120109312
Ramp4 Mmults,2000,4,1,0.6,All Ages,1,-0.149413675
Ramp4 Mmults,2000,4,1,0.7,All Ages,1,-0.177233726
Ramp4 Mmults,2000,4,1,0.8,All Ages,1,-0.203584123
Ramp4 Mmults,2000,4,1,0.9,All Ages,1,-0.228443819
Ramp4 Mmults,2005,4,1,0.1,All Ages,1,0.072474033
Ramp4 Mmults,2005,4,1,0.2,All Ages,1,0.027365121
Ramp4 Mmults,2005,4,1,0.3,All Ages,1,-0.015294622
Ramp4 Mmults,2005,4,1,0.4,All Ages,1,-0.055649047
Ramp4 Mmults,2005,4,1,0.5,All Ages,1,-0.093651687
Ramp4 Mmults,2005,4,1,0.6,All Ages,1,-0.129452743
Ramp4 Mmults,2005,4,1,0.7,All Ages,1,-0.163095918
Ramp4 Mmults,2005,4,1,0.8,All Ages,1,-0.194642012
Ramp4 Mmults,2005,4,1,0.9,All Ages,1,-0.224174718
Ramp4 Mmults,2010,4,1,0.1,All Ages,1,0.102463858
Ramp4 Mmults,2010,4,1,0.2,All Ages,1,0.051430892
Ramp4 Mmults,2010,4,1,0.3,All Ages,1,0.003825102
Ramp4 Mmults,2010,4,1,0.4,All Ages,1,-0.040581565
Ramp4 Mmults,2010,4,1,0.5,All Ages,1,-0.082010716
Ramp4 Mmults,2010,4,1,0.6,All Ages,1,-0.120678736
Ramp4 Mmults,2010,4,1,0.7,All Ages,1,-0.156794789
Ramp4 Mmults,2010,4,1,0.8,All Ages,1,-0.190560656
Ramp4 Mmults,2010,4,1,0.9,All Ages,1,-0.222168162
Ramp4 Mmults,2015,4,1,0.1,All Ages,1,-0.023375487
Ramp4 Mmults,2015,4,1,0.2,All Ages,1,-0.052598277
Ramp4 Mmults,2015,4,1,0.3,All Ages,1,-0.080760781
Ramp4 Mmults,2015,4,1,0.4,All Ages,1,-0.107907318
Ramp4 Mmults,2015,4,1,0.5,All Ages,1,-0.134081763
Ramp4 Mmults,2015,4,1,0.6,All Ages,1,-0.159325969
Ramp4 Mmults,2015,4,1,0.7,All Ages,1,-0.183680863
Ramp4 Mmults,2015,4,1,0.8,All Ages,1,-0.207185831
Ramp4 Mmults,2015,4,1,0.9,All Ages,1,-0.229878722
Ramp4 Mmults,2000,4,1,0.12,All Ages,1,0.003090968
Ramp4 Mmults,2000,4,1,0.13,All Ages,1,-0.000367571
Ramp4 Mmults,2000,4,1,0.14,All Ages,1,-0.003814545
Ramp4 Mmults,2000,4,1,0.15,All Ages,1,-0.007250557
Ramp4 Mmults,2000,4,1,0.16,All Ages,1,-0.010675196
Ramp4 Mmults,2005,4,1,0.23,All Ages,1,0.014312384
Ramp4 Mmults,2005,4,1,0.24,All Ages,1,0.010013776
Ramp4 Mmults,2005,4,1,0.25,All Ages,1,0.005738388
Ramp4 Mmults,2005,4,1,0.26,All Ages,1,0.001485964
