"Peel","Year","metric","value"
2,1984,"SSB",3299.779
2,1985,"SSB",2455.039
2,1986,"SSB",3340.472
2,1987,"SSB",3063.96
2,1988,"SSB",2867.023
2,1989,"SSB",4900.196
2,1990,"SSB",4643.255
2,1991,"SSB",3447.186
2,1992,"SSB",4448.433
2,1993,"SSB",4315.897
2,1994,"SSB",3976.69
2,1995,"SSB",4759.977
2,1996,"SSB",7211.119
2,1997,"SSB",8438.166
2,1998,"SSB",9809.987
2,1999,"SSB",13802.23
2,2000,"SSB",14359.56
2,2001,"SSB",12200.35
2,2002,"SSB",11934.86
2,2003,"SSB",10903.02
2,2004,"SSB",6817.817
2,2005,"SSB",4569.57
2,2006,"SSB",3574.594
2,2007,"SSB",4207.016
2,2008,"SSB",5152.107
2,2009,"SSB",5273.152
2,2010,"SSB",4791.841
2,2011,"SSB",4729.222
2,2012,"SSB",4546.134
2,2013,"SSB",4472.692
2,2014,"SSB",5307.5
2,2015,"SSB",5864.319
2,2016,"SSB",6314.876
2,1973,"F",0.884445
2,1974,"F",1.240006
2,1975,"F",1.79353
2,1976,"F",1.591496
2,1977,"F",1.493344
2,1978,"F",1.398239
2,1979,"F",0.8164676
2,1980,"F",0.6265972
2,1981,"F",0.5659306
2,1982,"F",0.9315158
2,1983,"F",1.221265
2,1984,"F",1.85845
2,1985,"F",1.237618
2,1986,"F",1.000772
2,1987,"F",1.219915
2,1988,"F",0.9291581
2,1989,"F",0.3539779
2,1990,"F",0.8852557
2,1991,"F",0.6885949
2,1992,"F",1.120456
2,1993,"F",0.8487145
2,1994,"F",0.9341745
2,1995,"F",0.3833563
2,1996,"F",0.342609
2,1997,"F",0.4053496
2,1998,"F",0.6003015
2,1999,"F",0.5576814
2,2000,"F",0.7722137
2,2001,"F",0.8916337
2,2002,"F",0.7135009
2,2003,"F",0.9024442
2,2004,"F",1.467969
2,2005,"F",1.277669
2,2006,"F",0.8996628
2,2007,"F",0.6498008
2,2008,"F",0.593791
2,2009,"F",0.5922926
2,2010,"F",0.3955009
2,2011,"F",0.4007681
2,2012,"F",0.2407182
2,2013,"F",0.06797724
2,2014,"F",0.04255632
2,2015,"F",0.02843563
2,2016,"F",0.009411864
3,1973,"SSB",19674.13
3,1974,"SSB",13078.31
3,1975,"SSB",8817.943
3,1976,"SSB",9429.627
3,1977,"SSB",7357.787
3,1978,"SSB",4405.869
3,1979,"SSB",8278.011
3,1980,"SSB",12698.39
3,1981,"SSB",12766.69
3,1982,"SSB",13425.14
3,1983,"SSB",10067.26
3,1984,"SSB",3351.989
3,1985,"SSB",2501.53
3,1986,"SSB",3399.955
3,1987,"SSB",3136.93
3,1988,"SSB",2951.282
3,1989,"SSB",5015.171
3,1990,"SSB",4755.38
3,1991,"SSB",3546.685
3,1992,"SSB",4550.618
3,1993,"SSB",4418.788
3,1994,"SSB",4083.089
3,1995,"SSB",4899.126
3,1996,"SSB",7418.38
3,1997,"SSB",8672.56
3,1998,"SSB",10054.4
3,1999,"SSB",14065.8
3,2000,"SSB",14594.75
3,2001,"SSB",12406.29
